name,volumeId,volumeNumber,year
International Journal of Intelligent Systems,volume::international journal of intelligent systems::2024::15,15,2024
Journal of Education Technology,volume::journal of education technology::2024::11,11,2024
International Symposium on Computers and Communications,volume::international symposium on computers and communications::2023::5,5,2023
Quantitative Science Studies,volume::quantitative science studies::2023::6,6,2023
European Respiratory Journal,volume::european respiratory journal::2011::10,10,2011
The International Journal of Electrical Engineering & Education,volume::the international journal of electrical engineering & education::2021::2,2,2021
BigData Congress [Services Society],volume::bigdata congress [services society]::2013::12,12,2013
Breast Cancer Research and Treatment,volume::breast cancer research and treatment::2011::13,13,2011
Irish University Review,volume::irish university review::2023::14,14,2023
2019 IEEE EMBS International Conference on Biomedical & Health Informatics (BHI),volume::2019 ieee embs international conference on biomedical & health informatics (bhi)::2019::4,4,2019
SICE Journal of Control Measurement and System Integration,volume::sice journal of control measurement and system integration::2023::18,18,2023
IEEE Transactions on Big Data,volume::ieee transactions on big data::2020::2,2,2020
Big Data & Society,volume::big data & society::2017::1,1,2017
International journal of law and policy,volume::international journal of law and policy::2024::19,19,2024
Legal horizons,volume::legal horizons::2025::1,1,2025
Cancers,volume::cancers::2022::7,7,2022
Esteem Journal of English Education Study Programme,volume::esteem journal of english education study programme::2025::11,11,2025
International Conference on Software and Data Technologies,volume::international conference on software and data technologies::2007::19,19,2007
Biotechnology and Bioengineering,volume::biotechnology and bioengineering::2002::2,2,2002
"Asilomar Conference on Signals, Systems and Computers","volume::asilomar conference on signals, systems and computers::2018::18",18,2018
Frontiers in Energy Research,volume::frontiers in energy research::2023::1,1,2023
Journal of Critical Social Welfare,volume::journal of critical social welfare::2023::12,12,2023
IEEE Conference on Evolving and Adaptive Intelligent Systems,volume::ieee conference on evolving and adaptive intelligent systems::2020::15,15,2020
Operational Research,volume::operational research::1997::6,6,1997
International Journal of Advanced Biochemistry Research,volume::international journal of advanced biochemistry research::2024::10,10,2024
Journal of the Advanced Practitioner in Oncology,volume::journal of the advanced practitioner in oncology::2016::17,17,2016
Symmetry,volume::symmetry::2025::12,12,2025
Construction and Architecture,volume::construction and architecture::2023::10,10,2023
IEEE Access,volume::ieee access::2022::4,4,2022
Journal of Risk and Financial Management,volume::journal of risk and financial management::2023::11,11,2023
Genomics Data,volume::genomics data::2016::17,17,2016
Industrial management & data systems,volume::industrial management & data systems::2023::2,2,2023
Big Data and Cognitive Computing,volume::big data and cognitive computing::2020::19,19,2020
Journal of Affective Disorders,volume::journal of affective disorders::2025::8,8,2025
Current Genomics,volume::current genomics::2024::4,4,2024
Modern Economics &amp; Management Forum,volume::modern economics &amp; management forum::2025::3,3,2025
Molecular Informatics,volume::molecular informatics::2015::16,16,2015
Zhongguo Zhong yao za zhi = Zhongguo zhongyao zazhi = China journal of Chinese materia medica,volume::zhongguo zhong yao za zhi = zhongguo zhongyao zazhi = china journal of chinese materia medica::2013::12,12,2013
"Ubiquitous Computing, Electronics & Mobile Communication Conference","volume::ubiquitous computing, electronics & mobile communication conference::2019::15",15,2019
Pacific-Asia Conference on Knowledge Discovery and Data Mining,volume::pacific-asia conference on knowledge discovery and data mining::2015::19,19,2015
Waste Management,volume::waste management::2016::8,8,2016
International Journal of Health Planning and Management,volume::international journal of health planning and management::2022::13,13,2022
Journal of Innovation and Development,volume::journal of innovation and development::2026::10,10,2026
Asian Conference on Intelligent Information and Database Systems,volume::asian conference on intelligent information and database systems::2017::16,16,2017
International Conference on Advanced Cloud and Big Data,volume::international conference on advanced cloud and big data::2016::19,19,2016
Future generations computer systems,volume::future generations computer systems::2018::17,17,2018
IEEE International Symposium on Multimedia,volume::ieee international symposium on multimedia::2017::4,4,2017
International Journal of Data Science and Artificial Intelligence,volume::international journal of data science and artificial intelligence::2023::5,5,2023
Science China Materials,volume::science china materials::2024::20,20,2024
FMDB Transactions on Sustainable Intelligent Networks,volume::fmdb transactions on sustainable intelligent networks::2024::18,18,2024
"International Conference on E-Learning, E-Education, and Online Training","volume::international conference on e-learning, e-education, and online training::2015::18",18,2015
Web Search and Data Mining,volume::web search and data mining::2018::12,12,2018
Baikal Research Journal,volume::baikal research journal::2023::14,14,2023
International Conference on Advanced Machine Learning Technologies and Applications,volume::international conference on advanced machine learning technologies and applications::2018::14,14,2018
Gait & Posture,volume::gait & posture::2023::18,18,2023
Annals of Internal Medicine,volume::annals of internal medicine::2014::2,2,2014
Європейський науковий журнал Економічних та Фінансових інновацій,volume::європейський науковий журнал економічних та фінансових інновацій::2025::18,18,2025
Ethics and Information Technology,volume::ethics and information technology::2019::3,3,2019
IEEE Access,volume::ieee access::2021::5,5,2021
Jurnal Komputer Indonesia (Ju-Komi),volume::jurnal komputer indonesia (ju-komi)::2025::9,9,2025
Panhellenic Conference on Informatics,volume::panhellenic conference on informatics::2022::5,5,2022
Big Data Mining and Analytics,volume::big data mining and analytics::2025::6,6,2025
International Journal of Visual and Performing Arts,volume::international journal of visual and performing arts::2024::16,16,2024
Jurnal Office,volume::jurnal office::2021::6,6,2021
ICBDS,volume::icbds::2022::6,6,2022
Sustainability,volume::sustainability::2025::15,15,2025
International Conference on Biomedical Electronics and Devices,volume::international conference on biomedical electronics and devices::2021::13,13,2021
Syntax literate : jurnal ilmiah Indonesia,volume::syntax literate : jurnal ilmiah indonesia::2025::19,19,2025
Journal of Environmental and Public Health,volume::journal of environmental and public health::2023::19,19,2023
Frontiers in Social Psychology,volume::frontiers in social psychology::2025::3,3,2025
Universe,volume::universe::2024::10,10,2024
IEEE PES Innovative Smart Grid Technologies Conference Europe,volume::ieee pes innovative smart grid technologies conference europe::2019::12,12,2019
Many-Task Computing on Grids and Supercomputers,volume::many-task computing on grids and supercomputers::2009::5,5,2009
International journal of new developments in engineering and society,volume::international journal of new developments in engineering and society::2023::11,11,2023
Biomarkers,volume::biomarkers::2015::18,18,2015
"Shanlax International Journal of Arts, Science and Humanities","volume::shanlax international journal of arts, science and humanities::2024::4",4,2024
Cancer Nursing,volume::cancer nursing::2014::9,9,2014
International Journal of Performability Engineering,volume::international journal of performability engineering::2020::2,2,2020
Canadian Journal of Chemical Engineering,volume::canadian journal of chemical engineering::2022::20,20,2022
IEEE Access,volume::ieee access::2026::11,11,2026
IEEE Data Engineering Bulletin,volume::ieee data engineering bulletin::2023::3,3,2023
Reviews in cardiovascular medicine,volume::reviews in cardiovascular medicine::2024::17,17,2024
"МОДЕЛИРОВАНИЕ, ОПТИМИЗАЦИЯ И ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ","volume::моделирование, оптимизация и информационные технологии::2022::18",18,2022
Journal of Public Health Research,volume::journal of public health research::2013::19,19,2013
Jurnal Gizi dan Pangan,volume::jurnal gizi dan pangan::2025::1,1,2025
The Journal of history and social sciences,volume::the journal of history and social sciences::2025::19,19,2025
Environmental Pollution,volume::environmental pollution::2024::17,17,2024
Panhellenic Conference on Informatics,volume::panhellenic conference on informatics::2023::1,1,2023
IEEE Access,volume::ieee access::2021::13,13,2021
Zhongguo Zhong yao za zhi = Zhongguo zhongyao zazhi = China journal of Chinese materia medica,volume::zhongguo zhong yao za zhi = zhongguo zhongyao zazhi = china journal of chinese materia medica::2022::17,17,2022
"ACM International Conference on Bioinformatics, Computational Biology and Biomedicine","volume::acm international conference on bioinformatics, computational biology and biomedicine::2013::4",4,2013
