venueId,name
journal of applied remote sensing,Journal of Applied Remote Sensing
international conference on information systems and computer aided education,International Conference on Information Systems and Computer Aided Education
genetics and clinical genomics,Genetics and Clinical Genomics
youth academic annual conference of chinese association of automation,Youth Academic Annual Conference of Chinese Association of Automation
ra journal of applied research,RA Journal Of Applied Research
kalam: jurnal agama dan sosial humaniora,Kalam: Jurnal Agama dan Sosial Humaniora
journal of education technology,Journal of Education Technology
irish university review,Irish University Review
2019 ieee embs international conference on biomedical & health informatics (bhi),2019 IEEE EMBS International Conference on Biomedical & Health Informatics (BHI)
2023 3rd international conference on innovative practices in technology and management (iciptm),2023 3rd International Conference on Innovative Practices in Technology and Management (ICIPTM)
international journal of emerging trends in engineering research,International Journal of Emerging Trends in Engineering Research
sice journal of control measurement and system integration,SICE Journal of Control Measurement and System Integration
journal of petroleum technology,Journal of Petroleum Technology
indian journal of computer science and engineering,Indian Journal of Computer Science and Engineering
journal of critical social welfare,Journal of Critical Social Welfare
ieee conference on evolving and adaptive intelligent systems,IEEE Conference on Evolving and Adaptive Intelligent Systems
frontiers of chemical science and engineering,Frontiers of Chemical Science and Engineering
critical social policy,Critical Social Policy
"2022 international conference on intelligent technology, system and service for internet of everything (itss-ioe)","2022 International Conference on Intelligent Technology, System and Service for Internet of Everything (ITSS-IoE)"
international conference computing methodologies and communication,International Conference Computing Methodologies and Communication
industrial management & data systems,Industrial management & data systems
current genomics,Current Genomics
international journal of humanities and social sciences,International journal of humanities and social sciences
international conference on information science and engineering,International Conference on Information Science and Engineering
"ubiquitous computing, electronics & mobile communication conference","Ubiquitous Computing, Electronics & Mobile Communication Conference"
intelligent and fuzzy techniques in big data analytics and decision making,Intelligent and Fuzzy Techniques in Big Data Analytics and Decision Making
"2022 smart technologies, communication and robotics (stcr)","2022 Smart Technologies, Communication and Robotics (STCR)"
american statistician,American Statistician
international journal of data science and artificial intelligence,International Journal of Data Science and Artificial Intelligence
science china materials,Science China Materials
fmdb transactions on sustainable intelligent networks,FMDB Transactions on Sustainable Intelligent Networks
2024 international conference on advances in electrical engineering and computer applications (aeeca),2024 International Conference on Advances in Electrical Engineering and Computer Applications (AEECA)
proceedings of the 2024 9th international conference on cyber security and information engineering,Proceedings of the 2024 9th International Conference on Cyber Security and Information Engineering
baikal research journal,Baikal Research Journal
gait & posture,Gait & Posture
ethics and information technology,Ethics and Information Technology
panhellenic conference on informatics,Panhellenic Conference on Informatics
jurnal office,Jurnal Office
icbds,ICBDS
international conference on biomedical electronics and devices,International Conference on Biomedical Electronics and Devices
2019 ieee 8th international conference on advanced power system automation and protection (apap),2019 IEEE 8th International Conference on Advanced Power System Automation and Protection (APAP)
journal of environmental and public health,Journal of Environmental and Public Health
universe,Universe
journal of southern hemisphere earth systems science,Journal of Southern Hemisphere Earth Systems Science
bandung conference series: statistics,Bandung Conference Series: Statistics
international journal of new developments in engineering and society,International journal of new developments in engineering and society
"shanlax international journal of arts, science and humanities","Shanlax International Journal of Arts, Science and Humanities"
"proceedings of the 2022 international conference on computer science, information engineering and digital economy (csiede 2022)","Proceedings of the 2022 International Conference on Computer Science, Information Engineering and Digital Economy (CSIEDE 2022)"
proceedings of the international conference on policies and economics measures for agricultural development (agrodeveco 2020),Proceedings of the International Conference on Policies and Economics Measures for Agricultural Development (AgroDevEco 2020)
2022 2nd international conference on big data engineering and education (bdee),2022 2nd International Conference on Big Data Engineering and Education (BDEE)
international journal of performability engineering,International Journal of Performability Engineering
